Views,Likes,Comments
981521.964531987,88552.65965115976,10648.876565588705
1146857.1143636415,105511.16959824931,12382.309933759636
712223.5949724033,64739.856589888295,7232.026470906425
867315.5950113613,85817.02583481703,9749.265370268657
979854.3823413997,102455.23985215627,9404.237387247034
1429397.3146571242,149103.34614662197,13013.569672154315
1278741.6172869736,112989.53038465665,11843.099287245168
958525.7735876282,97032.07715769164,11829.206396072414
1152717.457214754,109227.24633681218,11047.949066381465
1041010.7300518141,94523.69399936774,9298.492234053863
791700.7651909059,92873.69661319932,7897.332236435509
834384.7821263557,79913.667489437,9411.28373641747
789240.8629754429,80195.6786048693,8370.13216364602
982248.2670596883,89600.9499031285,9859.24231124772
1031638.67092426,108829.45109433906,11178.936572462344
642135.3905496222,58911.42448379975,6482.799208623404
1212696.3555680558,113910.00939690284,10976.615645286347
1007424.001017673,93474.0100238553,9249.372072967599
967248.4139174187,104470.1256538428,10397.50478465293
934358.486191438,109050.63817457303,7988.975303205466
1317795.3007000112,138113.5130292265,12700.214765935432
962243.3967204972,79204.07006636992,10299.450948525413
963655.4058562038,92643.07460421526,9043.6446924999
1143580.0424821326,138774.27494895522,12598.268751304273
999858.5498309619,103633.38159297136,9343.279360185545
1156433.3932549092,111970.65354895529,10798.253611710948
1017398.2242342347,103519.17618906872,11516.79384440108
1013251.1138544502,89128.40935113799,8750.60653375438
1240112.9883114635,121922.851948894,9859.939467466269
987666.9377355438,91607.70287909661,9038.169042087238
819818.730891159,78591.60675274338,8143.243280601759
748150.3911995344,80273.08174978862,7524.342542283087
1011326.5729728763,111224.54302707138,11017.47204485905
806756.276818919,70866.46827467764,8034.849993635375
1149711.1097275284,100977.70588359989,10388.09703193564
1055637.2777698021,109470.96193431519,10153.118908003442
937848.7697908257,96643.18956584677,8392.630600605316
869219.0026546768,92352.35325492201,8001.184866828562
985410.4033943388,87545.64815847174,10608.068531331595
1118387.5068544564,119152.65288485143,11135.61988180769
1171520.7948527886,111135.67643782543,11805.445098434464
761164.31883623,84765.06120757607,9269.334897296438
1380308.1464938635,142965.64364756813,14016.356956949034
870963.1900478012,87794.8235914226,7550.651069440141
763560.6635052721,67843.59871261634,6909.609386626627
1310441.0154136443,119839.73663362677,13161.157898970745
1243264.3069945804,117344.84320524309,10924.863027620766
1187267.4360948193,108766.94921129856,12977.179916326857
864889.8981961831,88744.66535950915,7874.579726075386
1213864.05933044,118871.6312743393,10940.372175962191
978051.5963876626,99431.06363312555,9914.916722130693
721352.8541728696,70482.30213384808,8925.33815520112
865699.906101773,87280.29448638475,9103.834707638189
747585.0219148378,74778.89820124421,8639.344688650364
1180427.782097578,117270.49818252728,11954.286297801626
1234722.793620128,125909.60942240442,11943.294455544863
792141.7715866377,66553.82716309768,7807.533524942801
968714.4391237043,87941.09482016771,9997.599887481818
